year_block,UserID,first_time,last_time,purchase_baskets,gross_total,return_total,net_total,avg_basket_gross,avg_basket_net,n_events,recency_days,return_rate_value
Y1,24753,2020-07-29 13:27:00,2020-11-25 14:23:00,3,348688.34,2548.5,346139.84,69737.668,69227.96800000001,5,14,0.007308819101894832
Y1,24754,2020-05-23 15:21:00,2020-10-15 10:24:00,4,1947316.84,17215.36,1930101.48,324552.8066666667,321683.58,6,55,0.008840554164775773
Y1,24755,2020-07-25 13:26:00,2020-07-25 13:26:00,1,106998.36,0.0,106998.36,106998.36,106998.36,1,137,0.0
Y1,24756,2020-10-26 09:25:00,2020-10-26 09:25:00,1,109009.0,0.0,109009.0,109009.0,109009.0,1,44,0.0
Y1,24757,2020-06-18 13:22:00,2020-11-02 17:02:00,3,336199.35,8962.8,327236.55,67239.87,65447.31,5,37,0.026659183011507905
Y1,24758,2020-11-02 13:26:00,2020-11-02 13:26:00,1,127260.9,0.0,127260.9,127260.9,127260.9,1,37,0.0
Y1,24759,2020-09-02 12:22:00,2020-09-02 13:53:00,3,306784.35,140071.2,166713.15,61356.869999999995,33342.63,5,98,0.4565787009669823
Y1,24760,2020-06-30 08:30:00,2020-11-29 15:07:00,7,2854324.13,0.0,2854324.13,407760.58999999997,407760.58999999997,7,10,0.0
Y1,24761,2020-02-21 10:19:00,2020-02-21 10:19:00,1,52326.72,0.0,52326.72,52326.72,52326.72,1,292,0.0
Y1,24762,2019-12-06 10:30:00,2020-11-03 13:15:00,11,1247862.47,23029.05,1224833.42,83190.83133333334,81655.56133333333,15,36,0.018454798147747805
Y1,24763,2020-03-19 14:47:00,2020-10-22 10:29:00,3,404022.29000000004,3464.1,400558.19,101005.57250000001,100139.5475,4,48,0.00857403189314134
Y1,24764,2020-10-22 10:40:00,2020-11-19 10:04:00,2,175816.12,0.0,175816.12,87908.06,87908.06,2,20,0.0
Y1,24766,2020-07-22 13:57:00,2020-10-20 14:28:00,2,132640.32,743.4000000000001,131896.91999999998,44213.44,43965.63999999999,3,50,0.0056046306281528875
Y1,24767,2019-12-18 12:44:00,2020-11-10 13:19:00,14,1947666.58,856093.6000000001,1091572.98,108203.69888888889,60642.94333333333,18,29,0.4395483337810315
Y1,24768,2020-08-31 09:31:00,2020-11-17 11:33:00,2,214019.66,0.0,214019.66,107009.83,107009.83,2,22,0.0
Y1,24769,2019-12-07 14:43:00,2020-10-13 10:29:00,2,332907.04000000004,14626.25,318280.79000000004,66581.40800000001,63656.15800000001,5,57,0.04393493751288648
Y1,24770,2020-09-17 14:10:00,2020-10-05 14:50:00,1,241181.72,5348.4,235833.32,120590.86,117916.66,2,65,0.022175810007491446
Y1,24771,2020-02-15 08:41:00,2020-03-03 11:22:00,1,227044.46,17718.85,209325.61,113522.23,104662.805,2,281,0.07804132283166036
Y1,24772,2020-12-03 10:44:00,2020-12-03 10:44:00,1,76969.85,0.0,76969.85,76969.85,76969.85,1,6,0.0
Y1,24774,2020-06-11 13:28:00,2020-12-09 12:05:00,5,677069.22,5685.9,671383.32,112844.87,111897.21999999999,6,0,0.00839781196965356
Y1,24776,2020-01-15 09:04:00,2020-12-01 10:03:00,13,1148519.99,12927.4,1135592.59,71782.499375,70974.536875,16,8,0.011255703089678047
Y1,24778,2020-08-20 09:23:00,2020-12-08 16:49:00,5,1555413.88,119510.55,1435903.3299999998,259235.64666666664,239317.22166666665,6,1,0.07683520864556
Y1,24779,2020-11-23 13:38:00,2020-11-23 13:38:00,1,98223.23,0.0,98223.23,98223.23,98223.23,1,16,0.0
Y1,24780,2019-12-02 13:58:00,2020-11-08 10:07:00,4,930502.8300000001,0.0,930502.8300000001,232625.70750000002,232625.70750000002,4,31,0.0
Y1,24782,2019-12-02 16:24:00,2020-11-11 19:12:00,21,2066827.03,64786.55,2002040.48,73815.25107142857,71501.44571428571,28,28,0.03134589835512264
Y1,24784,2019-12-14 08:40:00,2020-01-26 12:11:00,2,379183.76,1565.4,377618.36,126394.58666666667,125872.78666666667,3,318,0.004128341361454932
Y1,24785,2019-12-22 12:03:00,2020-09-08 15:57:00,2,267707.05000000005,6614.2,261092.85,89235.68333333335,87030.95,3,92,0.02470685773871102
Y1,24786,2020-12-08 10:45:00,2020-12-08 10:45:00,1,56860.9,0.0,56860.9,56860.9,56860.9,1,1,0.0
Y1,24788,2019-12-07 15:42:00,2019-12-07 15:42:00,1,167066.16999999998,0.0,167066.16999999998,167066.16999999998,167066.16999999998,1,368,0.0
Y1,24790,2020-10-15 12:28:00,2020-11-04 18:11:00,1,86127.66,3079.2,83048.46,43063.83,41524.23,2,35,0.03575158085102974
Y1,24794,2020-09-27 09:37:00,2020-10-25 12:21:00,2,112064.25,0.0,112064.25,56032.125,56032.125,2,45,0.0
Y1,24795,2020-08-22 13:11:00,2020-11-05 16:27:00,3,132569.04,5503.2,127065.84000000001,26513.808,25413.168,5,34,0.04151195482746197
Y1,24796,2020-06-28 12:58:00,2020-09-02 15:38:00,3,865166.12,1902.6000000000001,863263.52,216291.53,215815.88,4,98,0.0021991152404349816
Y1,24799,2020-01-26 16:24:00,2020-11-09 10:09:00,4,1566447.73,813384.96,753062.77,223778.24714285714,107580.39571428571,7,30,0.5192544535143857
Y1,24800,2019-12-18 12:33:00,2020-09-20 14:39:00,4,955117.68,0.0,955117.68,238779.42,238779.42,4,80,0.0
Y1,24802,2020-09-30 17:59:00,2020-10-18 13:52:00,1,200805.51,18352.25,182453.26,100402.755,91226.63,2,52,0.09139315948053417
Y1,24803,2020-08-09 10:33:00,2020-10-08 11:36:00,2,260173.13,0.0,260173.13,130086.565,130086.565,2,62,0.0
Y1,24804,2020-04-13 14:53:00,2020-04-13 14:53:00,1,143601.82,0.0,143601.82,143601.82,143601.82,1,240,0.0
Y1,24805,2020-09-09 13:51:00,2020-09-09 13:51:00,1,112228.95,0.0,112228.95,112228.95,112228.95,1,91,0.0
Y1,24811,2020-01-26 16:26:00,2020-01-26 16:26:00,1,54512.259999999995,0.0,54512.259999999995,54512.259999999995,54512.259999999995,1,318,0.0
Y1,24812,2020-10-12 15:41:00,2020-11-18 15:53:00,1,35002.35,6270.45,28731.899999999998,17501.175,14365.949999999999,2,21,0.17914368606679265
Y1,24813,2020-01-19 12:13:00,2020-10-05 19:05:00,3,675503.75,28430.52,647073.23,96500.53571428571,92439.03285714285,7,65,0.042087878860776126
Y1,24814,2020-06-21 10:30:00,2020-07-05 12:40:00,2,561402.08,0.0,561402.08,280701.04,280701.04,2,157,0.0
Y1,24815,2020-01-19 11:01:00,2020-01-19 11:01:00,1,106079.9,0.0,106079.9,106079.9,106079.9,1,325,0.0
Y1,24816,2019-12-02 14:43:00,2020-12-02 10:37:00,49,4773863.7299999995,302747.25,4471116.4799999995,58936.58925925925,55198.968888888885,81,7,0.06341765645664964
Y1,24817,2019-12-09 10:47:00,2020-12-05 14:19:00,13,2867535.16,129521.53,2738013.63,110289.81384615385,105308.21653846154,26,4,0.04516824477228031
Y1,24819,2020-02-11 09:41:00,2020-12-06 12:00:00,13,1477307.37,62128.36,1415179.01,59092.2948,56607.1604,25,3,0.0420551344030728
Y1,24820,2020-10-26 08:49:00,2020-10-26 08:49:00,1,127262.12,0.0,127262.12,127262.12,127262.12,1,44,0.0
Y1,24821,2020-07-26 09:04:00,2020-11-30 11:49:00,12,2047519.58,61526.1,1985993.48,113751.08777777778,110332.97111111111,18,9,0.030049089933489183
Y1,24822,2020-03-26 14:01:00,2020-11-05 09:35:00,3,1827619.31,0.0,1827619.31,609206.4366666666,609206.4366666666,3,34,0.0
Y1,24825,2020-07-20 13:21:00,2020-11-05 15:08:00,3,543842.19,15105.0,528737.19,135960.5475,132184.2975,4,34,0.027774601304838085
Y1,24826,2020-04-11 13:10:00,2020-12-09 10:13:00,6,1571450.44,10707.0,1560743.44,196431.305,195092.93,8,0,0.0068134506360887845
Y1,24827,2020-02-24 10:24:00,2020-09-16 12:20:00,29,4521763.899999999,1408276.26,3113487.64,141305.12187499998,97296.48875,32,84,0.31144400529182875
Y1,24828,2020-01-31 13:28:00,2020-11-26 12:35:00,11,754515.0,73128.48,681386.52,53893.92857142857,48670.46571428572,14,13,0.09692117452933341
Y1,24829,2019-12-03 10:57:00,2020-08-19 12:08:00,6,548347.51,16269.3,532078.21,68543.43875,66509.77625,8,112,0.029669688843850132
Y1,24830,2020-06-28 15:22:00,2020-06-28 15:22:00,1,179377.19999999998,0.0,179377.19999999998,179377.19999999998,179377.19999999998,1,164,0.0
Y1,24831,2020-10-04 12:14:00,2020-10-04 12:14:00,1,306207.01,0.0,306207.01,306207.01,306207.01,1,66,0.0
Y1,24832,2019-12-09 09:16:00,2019-12-09 11:36:00,1,35023.2,1782.0,33241.2,17511.6,16620.6,2,366,0.05088055917220586
Y1,24835,2019-12-01 12:52:00,2020-11-26 14:16:00,11,1220439.07,743.4000000000001,1219695.67,101703.25583333334,101641.30583333333,12,13,0.0006091250421866616
Y1,24837,2020-11-01 14:58:00,2020-11-01 14:58:00,1,123860.8,0.0,123860.8,123860.8,123860.8,1,38,0.0
Y1,24839,2020-05-12 13:52:00,2020-12-09 11:31:00,3,211882.24,8667.3,203214.94,42376.448,40642.988,5,0,0.040906212809530426
Y1,24840,2020-03-09 10:53:00,2020-03-15 10:20:00,1,133893.8,12154.4,121739.4,66946.9,60869.7,2,269,0.09077642131301077
Y1,24841,2020-03-29 13:57:00,2020-03-29 14:06:00,2,32069.58,0.0,32069.58,16034.79,16034.79,2,255,0.0
Y1,24842,2020-01-26 17:21:00,2020-11-04 12:31:00,2,653461.25,28956.600000000002,624504.65,217820.41666666666,208168.21666666667,3,35,0.04431265052059323
Y1,24844,2020-05-28 15:12:00,2020-05-28 15:12:00,1,109056.24,0.0,109056.24,109056.24,109056.24,1,195,0.0
Y1,24845,2020-02-04 15:05:00,2020-09-30 18:45:00,8,523257.08,16254.55,507002.53,43604.75666666667,42250.21083333334,12,70,0.03106417594961161
Y1,24848,2020-05-04 13:59:00,2020-05-04 13:59:00,1,309854.65,0.0,309854.65,309854.65,309854.65,1,219,0.0
Y1,24849,2020-04-22 10:24:00,2020-10-18 15:09:00,2,78859.70000000001,0.0,78859.70000000001,39429.850000000006,39429.850000000006,2,52,0.0
Y1,24850,2020-10-27 09:18:00,2020-11-11 17:54:00,1,282501.5,12787.6,269713.9,141250.75,134856.95,2,28,0.04526560035964411
Y1,24852,2020-05-04 09:23:00,2020-05-04 09:23:00,1,162099.05000000002,0.0,162099.05000000002,162099.05000000002,162099.05000000002,1,219,0.0
Y1,24855,2019-12-04 13:47:00,2020-09-06 14:27:00,7,2045371.25,1134963.1199999999,910408.13,146097.94642857142,65029.15214285714,14,94,0.5548934551612573
Y1,24856,2020-10-07 10:39:00,2020-10-21 10:58:00,1,974000.09,13777.5,960222.59,487000.045,480111.295,2,49,0.01414527590033385
Y1,24859,2020-03-08 12:18:00,2020-03-08 12:18:00,1,147267.96,0.0,147267.96,147267.96,147267.96,1,276,0.0
Y1,24861,2020-04-19 14:14:00,2020-10-05 09:43:00,2,285568.97000000003,0.0,285568.97000000003,142784.48500000002,142784.48500000002,2,65,0.0
Y1,24864,2020-08-20 08:21:00,2020-09-01 14:40:00,1,112367.4,3211.5,109155.9,56183.7,54577.95,2,99,0.02858035337651312
Y1,24868,2019-12-02 10:28:00,2020-11-30 12:31:00,12,850871.5599999999,56335.85,794535.71,50051.26823529411,46737.394705882354,17,9,0.06620958162005086
Y1,24869,2020-02-08 14:41:00,2020-11-16 09:08:00,9,1056702.08,10207.0,1046495.08,105670.20800000001,104649.508,10,23,0.00965929772751086
Y1,24870,2019-12-04 10:10:00,2020-08-05 18:09:00,3,297386.26,81100.35,216285.91,37173.2825,27035.73875,8,126,0.2727104809751466
Y1,24872,2020-06-28 15:37:00,2020-08-02 12:23:00,2,87528.9,0.0,87528.9,43764.45,43764.45,2,129,0.0
Y1,24874,2020-06-29 13:10:00,2020-07-05 09:35:00,1,97619.95999999999,3952.8,93667.15999999999,48809.979999999996,46833.579999999994,2,157,0.04049171911154236
Y1,24875,2020-03-07 14:37:00,2020-10-26 18:35:00,5,535229.76,24439.95,510789.81,76461.39428571428,72969.97285714286,7,44,0.045662539392428404
Y1,24876,2020-01-22 14:17:00,2020-01-28 10:43:00,1,484655.96,12239.699999999999,472416.26,242327.98,236208.13,2,316,0.025254409333994362
Y1,24878,2019-12-01 11:50:00,2020-03-31 10:24:00,2,381235.43,42337.1,338898.33,63539.238333333335,56483.055,6,253,0.11105237516880317
Y1,24882,2020-10-27 08:36:00,2020-10-27 08:36:00,1,218759.83000000002,0.0,218759.83000000002,218759.83000000002,218759.83000000002,1,43,0.0
Y1,24883,2020-11-26 13:02:00,2020-11-26 13:02:00,1,80582.54999999999,0.0,80582.54999999999,80582.54999999999,80582.54999999999,1,13,0.0
Y1,24884,2019-12-23 13:00:00,2020-09-15 09:50:00,3,1459217.1,0.0,1459217.1,486405.7,486405.7,3,85,0.0
Y1,24885,2019-12-07 16:56:00,2020-11-26 10:43:00,16,2198998.35,19649.2,2179349.15,129352.84411764707,128197.00882352941,17,13,0.008935522848391405
Y1,24887,2020-03-09 16:26:00,2020-08-12 19:12:00,2,155082.66,35545.3,119537.36,38770.665,29884.34,4,119,0.2292022847686518
Y1,24888,2020-09-17 15:51:00,2020-09-17 15:51:00,1,228756.25,0.0,228756.25,228756.25,228756.25,1,83,0.0
Y1,24892,2020-07-27 13:55:00,2020-07-27 13:55:00,1,64778.41,0.0,64778.41,64778.41,64778.41,1,135,0.0
Y1,24894,2020-01-11 12:29:00,2020-05-13 12:05:00,6,282215.16000000003,0.0,282215.16000000003,47035.86000000001,47035.86000000001,6,210,0.0
Y1,24898,2020-10-12 13:35:00,2020-11-19 12:18:00,2,302891.29,7086.4,295804.89,100963.76333333332,98601.63,3,20,0.023395852683647654
Y1,24899,2020-09-17 12:29:00,2020-09-17 12:29:00,1,145569.2,0.0,145569.2,145569.2,145569.2,1,83,0.0
Y1,24900,2020-01-26 16:26:00,2020-01-26 16:26:00,1,123894.76,0.0,123894.76,123894.76,123894.76,1,318,0.0
Y1,24902,2019-12-17 10:39:00,2020-12-03 12:20:00,4,723355.5599999999,0.0,723355.5599999999,180838.88999999998,180838.88999999998,4,6,0.0
Y1,24907,2020-09-30 13:13:00,2020-11-19 09:35:00,2,296038.16000000003,0.0,296038.16000000003,148019.08000000002,148019.08000000002,2,20,0.0
Y1,24908,2020-10-27 09:52:00,2020-10-27 09:52:00,1,80665.93,0.0,80665.93,80665.93,80665.93,1,43,0.0
Y1,24912,2020-02-11 10:30:00,2020-12-07 10:36:00,7,1241802.21,6241.2,1235561.01,155225.27625,154445.12625,8,2,0.005025921156961059
Y1,24913,2020-03-05 09:15:00,2020-03-05 09:15:00,1,36215.5,0.0,36215.5,36215.5,36215.5,1,279,0.0
Y1,24915,2020-01-26 17:28:00,2020-01-26 17:28:00,1,74408.29000000001,0.0,74408.29000000001,74408.29000000001,74408.29000000001,1,318,0.0
Y1,24918,2020-08-31 17:25:00,2020-11-23 13:01:00,4,261238.44,0.0,261238.44,65309.61,65309.61,4,16,0.0
Y1,24920,2020-07-01 09:15:00,2020-09-08 13:09:00,2,200818.49,0.0,200818.49,100409.245,100409.245,2,92,0.0
Y1,24921,2020-07-01 13:46:00,2020-11-12 12:44:00,3,258535.88,14911.2,243624.68,51707.176,48724.936,5,27,0.05767555358273676
Y1,24922,2019-12-03 19:31:00,2020-11-23 14:06:00,5,392154.2,0.0,392154.2,78430.84,78430.84,5,16,0.0
Y1,24923,2020-09-22 11:19:00,2020-11-19 17:21:00,2,407461.58,4116.3,403345.28,135820.52666666667,134448.42666666667,3,20,0.010102302160611068
Y1,24925,2020-05-12 11:45:00,2020-05-12 11:45:00,1,170787.95,0.0,170787.95,170787.95,170787.95,1,211,0.0
Y1,24927,2020-05-11 09:55:00,2020-10-13 10:52:00,2,436837.13,0.0,436837.13,218418.565,218418.565,2,57,0.0
Y1,24928,2019-12-06 11:57:00,2020-12-01 08:45:00,13,1604342.42,6836.849999999999,1597505.57,114595.88714285714,114107.54071428571,14,8,0.004261465579149868
Y1,24931,2019-12-16 13:15:00,2020-12-06 09:31:00,3,597830.51,6077.2,591753.3099999999,149457.6275,147938.32749999998,4,3,0.010165422972474254
Y1,24933,2020-04-21 12:22:00,2020-11-05 12:53:00,3,295876.61000000004,7132.8,288743.81,73969.15250000001,72185.9525,4,34,0.024107346640209238
Y1,24934,2020-01-19 12:26:00,2020-10-21 18:41:00,6,1847809.16,874370.58,973438.58,205312.12888888887,108159.84222222221,9,49,0.4731931191422387
Y1,24935,2020-04-12 07:20:00,2020-07-26 13:06:00,0,0.0,6458.400000000001,-6458.400000000001,0.0,-3229.2000000000003,2,136,0.0
Y1,24936,2020-10-27 10:42:00,2020-11-14 14:32:00,2,295545.95,0.0,295545.95,147772.975,147772.975,2,25,0.0
Y1,24937,2020-07-08 14:06:00,2020-07-08 14:26:00,3,990066.6699999999,1120265.37,-130198.7000000001,165011.11166666666,-21699.78333333335,6,154,1.1315049823866914
Y1,24939,2020-03-03 13:51:00,2020-11-26 12:17:00,5,471158.08,460.8,470697.28,78526.34666666666,78449.54666666668,6,13,0.0009780157012270702
Y1,24940,2020-07-23 09:10:00,2020-07-23 09:10:00,1,92497.69,0.0,92497.69,92497.69,92497.69,1,139,0.0
Y1,24943,2020-03-01 09:58:00,2020-09-30 12:36:00,3,395040.07,8591.76,386448.31,65840.01166666667,64408.051666666666,6,70,0.02174908484600056
Y1,24944,2020-05-11 10:42:00,2020-11-23 15:49:00,6,355944.73,0.0,355944.73,59324.121666666666,59324.121666666666,6,16,0.0
Y1,24945,2019-12-07 13:37:00,2020-12-03 12:57:00,12,684607.0599999999,50939.59,633667.47,42787.941249999996,39604.216875,16,6,0.07440704745288487
Y1,24946,2020-10-31 10:57:00,2020-10-31 10:57:00,1,55885.65,0.0,55885.65,55885.65,55885.65,1,39,0.0
Y1,24950,2020-09-07 14:21:00,2020-12-09 15:41:00,4,340866.4,4439.4,336427.0,68173.28,67285.4,5,0,0.013023870935944403
Y1,24951,2020-01-26 16:23:00,2020-01-26 16:23:00,1,20318.65,0.0,20318.65,20318.65,20318.65,1,318,0.0
Y1,24953,2020-10-31 10:49:00,2020-10-31 10:49:00,1,77049.78,0.0,77049.78,77049.78,77049.78,1,39,0.0
Y1,24954,2019-12-20 13:30:00,2020-11-30 14:48:00,6,714660.32,14275.35,700384.97,102094.33142857142,100054.99571428572,7,9,0.019975014143782322
Y1,24958,2019-12-14 13:10:00,2020-11-16 17:17:00,5,933197.98,24807.35,908390.63,133313.99714285714,129770.09,7,23,0.02658315869907905
Y1,24960,2019-12-01 12:09:00,2020-10-22 09:45:00,4,931824.08,40906.0,890918.08,133117.7257142857,127274.01142857142,7,48,0.04389884408224351
Y1,24961,2020-11-16 11:38:00,2020-11-22 12:13:00,1,129850.2,1783.2,128067.0,64925.1,64033.5,2,17,0.013732747427420212
Y1,24964,2020-05-28 12:52:00,2020-05-28 12:52:00,1,43396.78,0.0,43396.78,43396.78,43396.78,1,195,0.0
Y1,24966,2020-02-09 12:01:00,2020-12-09 10:16:00,16,2301340.53,42781.4,2258559.13,104606.38772727271,102661.77863636363,22,0,0.018589773848027614
Y1,24968,2020-01-12 11:45:00,2020-10-19 09:35:00,6,898882.63,22206.100000000002,876676.53,112360.32875,109584.56625,8,51,0.02470411515238647
Y1,24970,2020-04-22 11:33:00,2020-07-18 15:56:00,2,576050.1699999999,0.0,576050.1699999999,288025.08499999996,288025.08499999996,2,144,0.0
Y1,24974,2020-10-12 16:40:00,2020-11-19 09:18:00,2,369456.44000000006,0.0,369456.44000000006,184728.22000000003,184728.22000000003,2,20,0.0
Y1,24976,2020-01-15 14:50:00,2020-10-04 14:07:00,5,751649.44,2434.7999999999997,749214.64,125274.90666666666,124869.10666666667,6,66,0.0032392760114342664
Y1,24977,2020-05-24 09:07:00,2020-07-07 09:39:00,2,191443.46,13184.800000000001,178258.66,47860.865,44564.665,4,155,0.06887046441805848
Y1,24978,2020-07-02 11:44:00,2020-11-22 13:09:00,3,1045838.46,34496.1,1011342.36,209167.69199999998,202268.472,5,17,0.032984157037024626
Y1,24979,2020-06-09 15:41:00,2020-06-22 10:05:00,2,201776.05,0.0,201776.05,100888.025,100888.025,2,170,0.0
Y1,24980,2020-09-09 10:50:00,2020-11-12 15:46:00,2,364717.66000000003,0.0,364717.66000000003,182358.83000000002,182358.83000000002,2,27,0.0
Y1,24981,2019-12-01 09:55:00,2019-12-01 09:55:00,1,135158.65,0.0,135158.65,135158.65,135158.65,1,374,0.0
Y1,24982,2020-06-14 13:36:00,2020-11-26 13:50:00,4,821743.67,0.0,821743.67,205435.9175,205435.9175,4,13,0.0
Y1,24983,2020-03-10 10:30:00,2020-03-10 10:30:00,1,84869.0,0.0,84869.0,84869.0,84869.0,1,274,0.0
Y1,24984,2020-03-22 09:05:00,2020-10-01 12:17:00,2,263032.09,0.0,263032.09,131516.045,131516.045,2,69,0.0
Y1,24988,2020-04-07 14:16:00,2020-11-19 12:42:00,6,739428.51,43215.36,696213.15,92428.56375,87026.64375,8,20,0.05844427069765
Y1,24989,2020-01-14 13:02:00,2020-10-05 10:23:00,3,438359.81,26927.199999999997,411432.61,87671.962,82286.522,5,65,0.06142716413715025
