ProductID,product_name,gross,returns,net
102359C,SILVER/BLACK ORBIT NECKLACE,134641.59999999998,0.0,134641.59999999998
102361A,SILVER/M.O.P PENDANT ORBIT NECKLACE,70647.45,0.0,70647.45
102361B,GOLD/M.O.P PENDANT ORBIT NECKLACE,137496.65,0.0,137496.65
102361C,SILVER/BLACK PENDANT ORBIT NECKLACE,34943.899999999994,0.0,34943.899999999994
102363A,SILVER M.O.P ORBIT DROP EARRINGS,65432.99999999999,3464.1,61968.899999999994
102363B,GOLD M.O.P ORBIT DROP EARRINGS,36180.59999999999,0.0,36180.59999999999
102363C,SILVER BLACK ORBIT DROP EARRINGS,27712.799999999996,3464.1,24248.699999999997
102364A,SILVER M.O.P ORBIT BRACELET,74448.6,0.0,74448.6
102364B,GOLD M.O.P ORBIT BRACELET,31206.0,0.0,31206.0
102364C,SILVER BLACK ORBIT BRACELET,20506.800000000003,0.0,20506.800000000003
102365,FILIGREE DIAMANTE CHAIN,27105.600000000002,0.0,27105.600000000002
102366,LASER CUT MULTI STRAND NECKLACE,36033.2,0.0,36033.2
102367,EDWARDIAN DROP EARRINGS JET BLACK,12290.399999999998,2048.3999999999996,10242.0
102368,FILIGREE DIAMANTE EARRINGS,45418.2,0.0,45418.2
102369A,NEW BAROQUE B'FLY NECKLACE BLACK,34184.25,0.0,34184.25
102369B,NEW BAROQUE B'FLY NECKLACE RED,60772.0,6077.2,54694.799999999996
102369C,NEW BAROQUE B'FLY NECKLACE GREEN,33424.6,0.0,33424.6
102369D,NEW BAROQUE B'FLY NECKLACE PINK,93436.95,0.0,93436.95
102369E,NEW BAROQUE B'FLY NECKLACE MONTANA,62291.299999999996,0.0,62291.299999999996
102369F,NEW BAROQUE B'FLY NECKLACE CRYSTAL,8356.15,0.0,8356.15
102370A,BAROQUE BUTTERFLY EARRINGS BLACK,3755.3999999999996,0.0,3755.3999999999996
102370B,BAROQUE BUTTERFLY EARRINGS RED,3755.3999999999996,0.0,3755.3999999999996
102370C,BAROQUE BUTTERFLY EARRINGS GREEN,7510.799999999999,0.0,7510.799999999999
102370D,BAROQUE BUTTERFLY EARRINGS PINK,7510.799999999999,0.0,7510.799999999999
102370E,BAROQUE BUTTERFLY EARRINGS MONTANA,11266.199999999999,0.0,11266.199999999999
102370F,BAROQUE BUTTERFLY EARRINGS CRYSTAL,7510.799999999999,0.0,7510.799999999999
102371A,GLASS BEAD HOOP NECKLACE BLACK,51656.2,0.0,51656.2
102371B,GLASS BEAD HOOP NECKLACE MONTANA,42540.399999999994,0.0,42540.399999999994
102371C,GLASS BEAD HOOP NECKLACE GREEN,34943.899999999994,0.0,34943.899999999994
102371D,GLASS BEAD HOOP NECKLACE AMETHYST,60012.35,0.0,60012.35
102372A,GLASS BEAD HOOP EARRINGS BLACK,9784.800000000001,0.0,9784.800000000001
102372B,GLASS BEAD HOOP EARRINGS MONTANA,12774.600000000002,0.0,12774.600000000002
102372C,GLASS BEAD HOOP EARRINGS GREEN,6523.200000000001,0.0,6523.200000000001
102372D,GLASS BEAD HOOP EARRINGS AMETHYST,19569.600000000002,0.0,19569.600000000002
102373,NEW BAROQUE LARGE NECKLACE BLK/WHIT,44059.7,0.0,44059.7
102374,NEW BAROQUE SMALL NECKLACE BLACK,91917.65,0.0,91917.65
102375A,SPOTTED WHITE NATURAL SEED NECKLACE,22980.9,0.0,22980.9
102375B,RED KUKUI COCONUT SEED NECKLACE,58526.6,0.0,58526.6
102375C,BROWN KUKUI COCONUT SEED NECKLACE,29332.35,0.0,29332.35
102376,BILI NUT AND WOOD NECKLACE,9397.800000000001,0.0,9397.800000000001
102377,IVORY SHELL HEART NECKLACE,126313.59999999999,0.0,126313.59999999999
102378,IVORY SHELL HEART EARRINGS,3081.0,0.0,3081.0
102379,WHITE SILVER NECKLACE SHELL GLASS,19487.6,0.0,19487.6
102380A,"PEARL & SHELL 42""NECKL. GREEN",102227.79999999999,0.0,102227.79999999999
102380B,"PEARL & SHELL 42""NECKL. PINK",77841.48,0.0,77841.48
102380C,"PEARL & SHELL 42""NECKL. IVORY",72610.4,0.0,72610.4
102381A,FLOWER GARLAND NECKLACE RED,106769.99999999999,0.0,106769.99999999999
102381B,"FLOWER GLASS GARLAND NECKL.36""GREEN",76162.59999999999,0.0,76162.59999999999
102381C,"FLOWER GLASS GARLAND NECKL.36""BLUE",72603.59999999999,0.0,72603.59999999999
102381D,"FLOWER GLASS GARLAND NECKL.36""BLACK",117446.99999999999,0.0,117446.99999999999
102381E,"FLOWER GLASS GARLD NECKL36""AMETHYST",83280.59999999999,0.0,83280.59999999999
102381F,"FLOWER GLASS GARLD NECKL36""TURQUOIS",37725.399999999994,0.0,37725.399999999994
102382A,TINY CRYSTAL BRACELET RED,13746.0,0.0,13746.0
102382B,TINY CRYSTAL BRACELET GREEN,13509.0,0.0,13509.0
102382C,TINY CRYSTAL BRACELET BLUE,16116.0,0.0,16116.0
102382D,TINY CRYSTALS BRACELET BLACK,3792.0,0.0,3792.0
102383A,GLASS AND PAINTED BEADS BRACELET TO,14338.8,0.0,14338.8
102383B,GLASS AND PAINTED BEADS BRACELET OL,4779.599999999999,0.0,4779.599999999999
102383C,GLASS AND BEADS BRACELET IVORY,9217.8,0.0,9217.8
102384A,FIRE POLISHED GLASS BRACELET RED,9217.8,0.0,9217.8
102384B,FIRE POLISHED GLASS BRACELET MONTAN,14680.199999999999,0.0,14680.199999999999
102384C,FIRE POLISHED GLASS BRACELET BLACK,18435.6,0.0,18435.6
102384D,FIRE POLISHED GLASS BRACELET GREEN,27994.799999999996,0.0,27994.799999999996
102385A,MURANO STYLE GLASS BRACELET RED,35161.5,2237.5499999999997,32923.95
102385B,MURANO STYLE GLASS BRACELET BLACK,69044.4,0.0,69044.4
102385C,MURANO STYLE GLASS BRACELET GOLD,32923.95,2237.5499999999997,30686.399999999998
102385D,MURANO STYLE GLASS BRACELET PINK,40275.899999999994,0.0,40275.899999999994
102386,PEARL AND CHERRY QUARTZ BRACLET,3516.1499999999996,0.0,3516.1499999999996
102387A,FRESHWATER PEARL BRACELET GOLD,22989.0,0.0,22989.0
102387B,FRESHWATER PEARL BRACELET PINK,15405.0,0.0,15405.0
102387C,FRESHWATER PEARL BRACELET IVORY,27255.0,0.0,27255.0
102388,COPPER AND BRASS BAG CHARM,36055.57,0.0,36055.57
102391,WHITE WITH METAL BAG CHARM,37001.4,3566.4,33435.0
102393,GREEN WITH METAL BAG CHARM,48592.200000000004,0.0,48592.200000000004
102394,IVORY GOLD METAL BAG CHARM,40459.34,1337.4,39121.94
102395,CRACKED GLAZE NECKLACE IVORY,16244.8,4998.4,11246.4
102396,CRACKED GLAZE NECKLACE RED,22492.8,0.0,22492.8
102397,CRACKED GLAZE NECKLACE BROWN,8122.4,0.0,8122.4
102399,CRACKED GLAZE EARRINGS RED,2607.0,0.0,2607.0
102400,CRACKED GLAZE EARRINGS BROWN,2607.0,0.0,2607.0
102401,CHUNKY CRACKED GLAZE NECKLACE IVORY,15286.4,0.0,15286.4
102402,DIAMANTE RING ASSORTED IN BOX.,311339.76,0.0,311339.76
102403A,CRYSTAL STUD EARRINGS CLEAR DISPLAY,40303.56,1253.46,39050.1
102403B,CRYSTAL STUD EARRINGS ASSORTED COL ,97895.07,1253.46,96641.61
102404A,DIAMANTE HAIR GRIP PACK/2 CRYSTAL,7617.599999999999,634.8,6982.799999999999
102404B,DIAMANTE HAIR GRIP PACK/2 BLACK DIA,8887.199999999999,634.8,8252.4
102404C,DIAMANTE HAIR GRIP PACK/2 MONTANA,14917.8,634.8,14282.999999999998
102404D,DIAMANTE HAIR GRIP PACK/2 PERIDOT,12061.199999999999,634.8,11426.4
102404E,DIAMANTE HAIR GRIP PACK/2 RUBY,14759.099999999999,634.8,14124.3
102404F,DIAMANTE HAIR GRIP PACK/2 LT ROSE,9522.0,634.8,8887.199999999999
102405B,FIRE POLISHED GLASS NECKL GOLD,30654.6,0.0,30654.6
102405C,FIRE POLISHED GLASS NECKL SILVER,19898.6,0.0,19898.6
102405D,FIRE POLISHED GLASS NECKL BRONZE,49477.59999999999,0.0,49477.59999999999
102405F,FIRE POLISHED GLASS NECKL GREEN,52704.399999999994,0.0,52704.399999999994
102407,CARNIVAL BRACELET,583070.75,39529.0,543541.75
102408A,WHITE VINT ART DECO CRYSTAL NECKLAC,71407.09999999999,0.0,71407.09999999999
102408B,BLACK VINT ART DEC CRYSTAL NECKLACE,79763.25,0.0,79763.25
102409A,WHITE VINTAGE CRYSTAL EARRINGS,12631.8,0.0,12631.8
102409B,BLACK VINTAGE  CRYSTAL EARRINGS,32774.399999999994,3072.6,29701.799999999996
102410A,WHITE VINTAGE CRYSTAL BRACELET,45555.0,0.0,45555.0
102410B,BLACK VINT ART DEC CRYSTAL BRACELET,54666.0,0.0,54666.0
102411A,PINK VINTAGE VICTORIAN CHOKER,15185.0,0.0,15185.0
102412A,PINK VINTAGE VICTORIAN EARRINGS,28539.0,0.0,28539.0
102412B,BROWN VINTAGE VICTORIAN EARRINGS,8697.6,0.0,8697.6
102414,RUBY GLASS CLUSTER NECKLACE,41031.649999999994,0.0,41031.649999999994
102415,RUBY GLASS CLUSTER BRACELET,72065.2,5915.799999999999,66149.4
102416,RUBY GLASS CLUSTER EARRINGS,1362.9,0.0,1362.9
102417,RUBY DROP CHANDELIER EARRINGS,23215.199999999997,0.0,23215.199999999997
102418,VINTAGE ENAMEL & CRYSTAL EARRINGS,35664.0,0.0,35664.0
102419,BLACK DIAMOND CLUSTER NECKLACE,26360.399999999998,0.0,26360.399999999998
102420,MONTANA DIAMOND CLUSTER NECKLACE,27159.199999999997,0.0,27159.199999999997
102421,MONTANA DIAMOND CLUSTER EARRINGS,3792.0,0.0,3792.0
102422,BLACK DIAMOND CLUSTER EARRINGS,2607.0,0.0,2607.0
102423,PINK/WHITE GLASS DEMI CHOKER,32287.199999999997,0.0,32287.199999999997
102424,VINTAGE ENAMEL & CRYSTAL NECKLACE,21844.2,0.0,21844.2
102426A,LILY BROOCH AMETHYST COLOUR,112341.6,0.0,112341.6
102426B,LILY BROOCH WHITE/SILVER COLOUR,11590.800000000001,0.0,11590.800000000001
102426C,LILY BROOCH OLIVE COLOUR,53941.8,0.0,53941.8
102427A,DIAMANTE BOW BROOCH GREEN COLOUR,126544.6,0.0,126544.6
102427B,DIAMANTE BOW BROOCH RED COLOUR,189530.6,0.0,189530.6
102427C,DIAMANTE BOW BROOCH WHITE COLOUR,6298.6,0.0,6298.6
102427D,DIAMANTE BOW BROOCH BLACK COLOUR,281146.60000000003,4580.8,276565.8
102428,CRYSTAL CZECH CROSS PHONE CHARM,13503.78,0.0,13503.78
102429,PINK CRYSTAL GUITAR PHONE CHARM,17285.399999999998,178.2,17107.199999999997
102430,CRYSTAL STILETTO PHONE CHARM,47668.49999999999,6415.2,41253.299999999996
102431,CRYSTAL FROG PHONE CHARM,40596.659999999996,0.0,40596.659999999996
102432,CRYSTAL SEA HORSE PHONE CHARM,49637.159999999996,4098.599999999999,45538.56
102433,CRYSTAL KEY+LOCK PHONE CHARM,23967.899999999998,2049.2999999999997,21918.6
102434,PINK CRYSTAL SKULL PHONE CHARM,22075.019999999997,0.0,22075.019999999997
102435,PINK CRYSTAL HEART PHONE CHARM,50608.799999999996,2227.5,48381.299999999996
102436,CRYSTAL DRAGONFLY PHONE CHARM,2049.2999999999997,0.0,2049.2999999999997
102437,BLUE CRYSTAL BOOT PHONE CHARM,19691.1,1871.1,17820.0
102438,CLEAR CRYSTAL STAR PHONE CHARM,36439.92,1871.1,34568.82
102439,NECKLACE+BRACELET SET FRUIT SALAD ,50007.0,0.0,50007.0
102440,NECKLACE+BRACELET SET PINK BLOSSOM,6399.0,0.0,6399.0
102441,NECKLACE+BRACELET SET BLUE BLOSSOM,29625.0,0.0,29625.0
102443,NECKLACE+BRACELET PINK BUTTERFLY,64701.0,948.0,63753.0
102444,NECKLACE+BRACELET SET BLUE HIBISCUS,28203.0,0.0,28203.0
102445,NECKLACE+BRACELET SET PINK DAISY,26544.0,0.0,26544.0
102446,WHITE FRANGIPANI NECKLACE,12087.0,948.0,11139.0
102447,WHITE FRANGIPANI HAIR CLIP,2405.7,0.0,2405.7
102448,PURPLE FRANGIPANI NECKLACE,10902.0,0.0,10902.0
102449,PURPLE FRANGIPANI HAIRCLIP,19423.8,0.0,19423.8
102453,BLUE BLOSSOM HAIR CLIP,21939.0,0.0,21939.0
102456,BLUE HIBISCUS  HAIR CLIP,8307.0,0.0,8307.0
102457,PINK DOLLY HAIR CLIPS,26625.0,0.0,26625.0
102459,SUMMER DAISIES BAG CHARM,51429.0,0.0,51429.0
102460,SUMMER BUTTERFLIES BAG CHARM,33417.0,0.0,33417.0
102461,FRUIT SALAD BAG CHARM,26273.16,0.0,26273.16
102463,PINK DAISY BAG CHARM,9006.0,948.0,8058.0
102464,METALIC LEAVES BAG CHARMS,56283.39,0.0,56283.39
102465A,PINK MURANO TWIST BRACELET,110851.19999999998,0.0,110851.19999999998
102465B,BLUE MURANO TWIST BRACELET,111100.94999999998,0.0,111100.94999999998
102465C,GREEN MURANO TWIST BRACELET,76595.09999999999,0.0,76595.09999999999
102465D,WHITE MURANO TWIST BRACELET,127531.65,0.0,127531.65
102466B,VINTAGE ROSE BEAD BRACELET BLUE,41954.1,2694.2999999999997,39259.799999999996
102467A,PINK CRYSTAL+GLASS BRACELET,71328.0,0.0,71328.0
102467B,JADE CRYSTAL+GLASS BRACELET,77569.2,0.0,77569.2
102467C,TURQUOISE CRYSTAL+GLASS BRACELET,69990.6,0.0,69990.6
102468A,PINK HEART OF GLASS BRACELET,121542.79999999999,0.0,121542.79999999999
102468B,TURQUOISE HEART OF GLASS BRACELET,77443.2,0.0,77443.2
102468C,GREEN HEART OF GLASS BRACELET,54855.59999999999,0.0,54855.59999999999
102468D,WHITE HEART OF GLASS BRACELET,60771.399999999994,0.0,60771.399999999994
102469A,PINK MURANO TWIST NECKLACE,154129.19999999998,0.0,154129.19999999998
102469B,BLUE MURANO TWIST NECKLACE,104524.4,0.0,104524.4
102469C,GREEN MURANO TWIST NECKLACE,71749.79999999999,0.0,71749.79999999999
102470A,PINK BERTIE GLASS BEAD BAG CHARM,30514.949999999997,395.7,30119.25
102470B,AQUA BERTIE GLASS BEAD BAG CHARM,14326.5,0.0,14326.5
102470C,TURQUOISE BERTIE GLASS BEAD CHARM,10881.75,0.0,10881.75
102470D,PURPLE BERTIE GLASS BEAD BAG CHARM,24416.85,0.0,24416.85
102470E,AMBER BERTIE GLASS BEAD BAG CHARM,2176.35,0.0,2176.35
102471A,PINK BERTIE MOBILE PHONE CHARM,11028.24,0.0,11028.24
102471C,AMBER BERTIE MOBILE PHONE CHARM,7622.460000000001,0.0,7622.460000000001
102472A,PINK BEADS+HAND PHONE CHARM,3964.8,0.0,3964.8
102472B,BLUE BEADS+HAND PHONE CHARM,2725.8,0.0,2725.8
102473A,PINK LEAVES AND BEADS PHONE CHARM,11027.1,0.0,11027.1
102473B,BLUE LEAVES AND BEADS PHONE CHARM,9540.300000000001,0.0,9540.300000000001
102473C,GREEN LEAVES AND BEADS PHONE CHARM,6690.6,0.0,6690.6
102473D,PURPLE LEAVES AND BEADS PHONE CHAR,2849.7000000000003,0.0,2849.7000000000003
102474A,PINK GLASS TASSLE BAG CHARM ,50011.200000000004,0.0,50011.200000000004
102474B,TURQUOISE GLASS TASSLE BAG CHARM ,69309.0,0.0,69309.0
102474C,GREEN GLASS TASSLE BAG CHARM,62514.00000000001,0.0,62514.00000000001
102474D,AMBER GLASS TASSLE BAG CHARM,48380.4,0.0,48380.4
102474E,PURPLE GLASS TASSLE BAG CHARM,42672.600000000006,0.0,42672.600000000006
102474F,RED GLASS TASSLE BAG CHARM,50554.8,0.0,50554.8
102475A,WHITE STONE/CRYSTAL EARRINGS,21200.4,0.0,21200.4
102475B,TURQ STONE/CRYSTAL EARRINGS,11687.400000000001,0.0,11687.400000000001
102475C,GREEN STONE/CRYSTAL EARRINGS,5979.6,0.0,5979.6
102475D,RED STONE/CRYSTAL EARRINGS,4348.8,0.0,4348.8
102476,PINK/AMETHYST/GOLD NECKLACE,30615.199999999997,0.0,30615.199999999997
102478,TEAL/FUSCHIA COL BEAD NECKLACE,39230.4,0.0,39230.4
102479,OLD ROSE COMBO BEAD NECKLACE,8697.6,0.0,8697.6
102480,ORANGE/WHT/FUSCHIA STONES NECKLACE,7132.8,0.0,7132.8
102480A,ORANGE/FUSCHIA STONES NECKLACE,12928.2,0.0,12928.2
102481,PALE PINK/AMETHYST STONE NECKLACE,20373.399999999998,0.0,20373.399999999998
102482,PINK COMBO MINI CRYSTALS NECKLACE,44134.200000000004,0.0,44134.200000000004
102483,WHITE/PINK MINI CRYSTALS NECKLACE,27193.8,0.0,27193.8
102484,FLOWER BROOCH 4 ASSORTED COLOURS,15603.0,0.0,15603.0
102485,PINK SWEETIE NECKLACE,23542.75,0.0,23542.75
102486A,GREEN PENDANT TRIPLE SHELL NECKLACE,15157.2,0.0,15157.2
102486B,IVORY PENDANT TRIPLE SHELL NECKLACE,5795.400000000001,0.0,5795.400000000001
102486C,TURQ PENDANT TRIPLE SHELL NECKLACE,15157.2,0.0,15157.2
102486E,ORANGE PENDANT TRIPLE SHELL NECKLAC,10699.2,0.0,10699.2
102487D,MOP PENDANT SHELL NECKLACE,22290.0,0.0,22290.0
102488,SILVER BRACELET W PASTEL FLOWER,149196.85,14798.3,134398.55
102489,SILVER DROP EARRINGS WITH FLOWER,48137.399999999994,0.0,48137.399999999994
102490,SILVER HOOP EARRINGS WITH FLOWER,117778.19999999998,0.0,117778.19999999998
102491,FINE SILVER NECKLACE W PASTEL FLOWE,104933.4,5381.2,99552.2
102492,CHUNKY SILVER NECKLACE PASTEL FLOWE,396838.39999999997,14172.8,382665.6
102493,LONG SILVER NECKLACE PASTEL FLOWER,194256.80000000002,20329.2,173927.6
102494,SILVER FLOWR PINK SHELL NECKLACE,78682.31,0.0,78682.31
102495,BLUE SHELL+SILVER NECKLACE,55157.299999999996,0.0,55157.299999999996
102496,SILVER/NATURAL SHELL NECKLACE,74445.7,0.0,74445.7
102497A,SILVER/NAT SHELL NECKLACE W PENDANT,17747.399999999998,0.0,17747.399999999998
102497B,BLUE/GREEN SHELL NECKLACE W PENDANT,24200.999999999996,0.0,24200.999999999996
102497C,BLUE/NAT SHELL NECKLACE W PENDANT,25276.6,0.0,25276.6
102499,LAZER CUT NECKLACE W PASTEL BEADS,91597.59999999999,0.0,91597.59999999999
102500,RESIN NECKLACE W PASTEL BEADS,79372.7,0.0,79372.7
102501,RESIN BRACELET W PASTEL BEADS,28977.0,0.0,28977.0
102502,RIVIERA NECKLACE,95847.0,0.0,95847.0
102503,ST TROPEZ NECKLACE,53941.8,0.0,53941.8
102504,COTE D'AZURE NECKLACE,81581.40000000001,0.0,81581.40000000001
102505A,PURPLE BOUDICCA LARGE BRACELET,131208.0,1874.3999999999999,129333.59999999999
102505B,RED BOUDICCA LARGE BRACELET,168755.94999999998,0.0,168755.94999999998
102505C,TURQ+RED BOUDICCA LARGE BRACELET,241797.59999999998,0.0,241797.59999999998
102505D,PINK BOUDICCA LARGE BRACELET,173069.59999999998,5623.2,167446.4
102506A,ANT COPPER RED BOUDICCA BRACELET,78906.6,0.0,78906.6
102506B,ANT COPPER TURQ BOUDICCA BRACELET,152463.6,0.0,152463.6
102506C,ANT COPPER LIME BOUDICCA BRACELET,183223.80000000002,0.0,183223.80000000002
102506D,ANT COPPER PINK BOUDICCA BRACELET,136744.95,0.0,136744.95
102507A,ANT SILVER TURQUOISE BOUDICCA RING,30713.4,0.0,30713.4
102507B,ANT SILVER LIME GREEN BOUDICCA RING,61970.4,2446.2000000000003,59524.200000000004
102507C,ANT SILVER FUSCHIA BOUDICCA RING,45118.8,0.0,45118.8
102507D,ANT SILVER PURPLE BOUDICCA RING,39682.8,0.0,39682.8
102508A,PINK ROSEBUD & PEARL NECKLACE,33632.5,0.0,33632.5
102508B,WHITE ROSEBUD & PEARL NECKLACE,16143.599999999999,0.0,16143.599999999999
102509A,PINK ROSEBUD PEARL BRACELET,37276.799999999996,0.0,37276.799999999996
102509B,WHITE  ROSEBUD PEARL BRACELET,29079.6,0.0,29079.6
102510A,PINK ROSEBUD PEARL EARRINGS,7584.0,0.0,7584.0
102510B,WHITE ROSEBUD  PEARL EARRINGS,16353.0,0.0,16353.0
102511,PINK & WHITE ROSEBUD RING,40407.899999999994,0.0,40407.899999999994
102512,BEADED LOVE HEART JEWELLERY SET,309407.52,21803.820000000003,287603.7
102513,2 DAISIES HAIR COMB,13046.400000000001,1087.2,11959.2
102514,DAISY HAIR COMB,10428.0,948.0,9480.0
102515,DAISY HAIR BAND,26026.8,317.4,25709.399999999998
102516,DAISY RING,3840.9000000000005,0.0,3840.9000000000005
102518,PAIR BUTTERFLY HAIR CLIPS,35847.0,0.0,35847.0
102519,BUTTERFLY HAIR BAND,9480.0,1896.0,7584.0
102520A,WHITE GLASS CHUNKY CHARM BRACELET,271754.75,9585.599999999999,262169.14999999997
102520B,PINK GLASS CHUNKY CHARM BRACELET,61670.34999999999,6390.4,55279.95
102520C,BLUE GLASS CHUNKY CHARM BRACELET,161357.59999999998,0.0,161357.59999999998
102520D,TIGRIS EYE CHUNKY CHARM BRACELET,151771.99999999997,0.0,151771.99999999997
102521A,CLASSIC DIAMANTE NECKLACE JET,23542.75,6053.849999999999,17488.899999999998
102521B,DIAMANTE NECKLACE BLACK ,15470.949999999999,0.0,15470.949999999999
102521C,DIAMANTE NECKLACE,24215.399999999998,12107.699999999999,12107.699999999999
102521D,DIAMANTE NECKLACE PURPLE,31614.549999999996,6053.849999999999,25560.699999999997
102522A,CLASSIC DIAMANTE EARRINGS JET,7338.6,1087.2,6251.400000000001
102522B,DROP DIAMANTE EARRINGS BLACK DIAMON,17667.0,0.0,17667.0
102522C,DROP DIAMANTE EARRINGS CRYSTAL,23646.600000000002,1087.2,22559.4
102522D,DROP DIAMANTE EARRINGS PURPLE,32616.0,1087.2,31528.800000000003
102522E,DROP DIAMANTE EARRINGS GREEN,10328.400000000001,1087.2,9241.2
102523A,AMBER CHUNKY GLASS+BEAD NECKLACE,204541.4,0.0,204541.4
102523B,PURPLE CHUNKY GLASS+BEAD NECKLACE,110219.2,0.0,110219.2
102524A,AMBER FINE BEAD NECKLACE W TASSEL,31192.399999999998,0.0,31192.399999999998
102524B,PURPLE FINE BEAD NECKLACE W TASSEL,30654.6,0.0,30654.6
102524C,BLACK FINE BEAD NECKLACE W TASSEL,48939.799999999996,0.0,48939.799999999996
102525A,BLACK+WHITE NECKLACE W TASSEL,199224.8,0.0,199224.8
102525B,PURPLE AMETHYST NECKLACE W TASSEL,91237.4,0.0,91237.4
102526A,AMBER GLASS/SHELL/PEARL NECKLACE,26360.399999999998,0.0,26360.399999999998
102527C,BLACK 3 BEAD DROP EARRINGS,7610.400000000001,1087.2,6523.200000000001
102528A,AMBER DROP EARRINGS W LONG BEADS,8697.6,1087.2,7610.400000000001
102528C,BLACK DROP EARRINGS W LONG BEADS,5979.6,0.0,5979.6
102529A,AMBER CHUNKY BEAD BRACELET W STRAP,131003.19999999998,0.0,131003.19999999998
102529B,AMETHYST CHUNKY BEAD BRACELET W STR,219669.99999999997,13579.599999999999,206090.39999999997
102529C,BLACK CHUNKY BEAD BRACELET W STRAP,238042.39999999997,0.0,238042.39999999997
102530A,AMBER DIAMANTE EXPANDABLE RING,42339.0,6543.299999999999,35795.7
102530B,AMETHYST DIAMANTE EXPANDABLE RING,65048.09999999999,11931.9,53116.2
102530C,BLACK DIAMANTE EXPANDABLE RING,95455.2,14241.3,81213.9
102530D,CRYSTAL DIAMANTE EXPANDABLE RING,82753.49999999999,6543.299999999999,76210.2
102531A,AMETHYST HOOP EARRING FLORAL LEAF,66862.8,0.0,66862.8
102531B,CRYSTAL HOOP EARRING FLORAL LEAF,45118.8,0.0,45118.8
102532A,BLUE DROP EARRINGS W BEAD CLUSTER,3679.2000000000003,0.0,3679.2000000000003
102532B,GREEN DROP EARRINGS W BEAD CLUSTER,7971.6,0.0,7971.6
102533,DROP EARRINGS W FLOWER & LEAF,5214.0,0.0,5214.0
102534A,SILVER 2 STRAND NECKLACE-LEAF CHARM,31614.549999999996,0.0,31614.549999999996
102534B,GOLD 2 STRAND NECKLACE-LEAF CHARMS,15470.949999999999,0.0,15470.949999999999
102535A,SILVER/CRYSTAL DROP EARRINGS W LEAF,26636.4,0.0,26636.4
102535B,GOLD/AMBER DROP EARRINGS W LEAF,28267.2,0.0,28267.2
